OBJECTID,TAG,CODE,ROUTE,ACCOUNTNUM,PEANO,FEEDERID,OWNER,INSTALLATI,LATITUDE,LONGITUDE,"Lat, Long"
1804542,11MTAA000152110,AFAG,149,-,19402440,FAA06,PEA,6007557075,19.90218286,99.20686084,"19.9021828597, 99.2068608359"
617831,1150MT000237222,AFAG,148,172300,29027131,FAA06,,6007555190,19.90478534,99.20749452,"19.9047853358, 99.2074945219"
617506,1150MT000236897,AFAG,149,181203,22933639,FAA06,,6007557316,19.90224133,99.20754684,"19.9022413328, 99.2075468379"
617949,1150MT000237340,AFAG,149,181701,29027110,FAA06,,6007557599,19.90349241,99.20802777,"19.9034924141, 99.2080277687"
1585816,11MTAA000046356,AFAG,149,181514,5800189242,FAA06,,6007557488,19.90289169,99.20805265,"19.9028916857, 99.2080526454"
617938,1150MT000237329,AFAG,149,182701,22695224,FAA06,,6007558270,19.90217955,99.20881637,"19.9021795544, 99.2088163734"
2265486,11MTAA000458063,AFAG,15,152004,5800027975,FAA06,,6019118788,19.91346901,99.20742348,"19.9134690071, 99.2074234847"
601664,1150MT000221055,AFAG,111,126803,5901251399,FAA04,PEA,6007398594,19.84381856,99.21504858,"19.8438185565, 99.2150485845"
621064,1150MT000240455,AFAG,41,428902,26051279,FAA09,PEA,6006981154,19.86408794,99.2108785,"19.8640879389, 99.210878503"
619670,1150MT000239061,AFAG,41,430082,28073823,FAA09,PEA,6006984253,19.86706716,99.21428448,"19.8670671601, 99.2142844829"
2114502,11MTAA000356278,AFAG,78,688361,5700315609,FAA04,PEA,6018457366,19.81417921,99.21984221,"19.8141792131, 99.2198422129"
593227,1150MT000212618,AFAG,134,240400,5800487476,FAA04,PEA,6007513473,19.83686609,99.21871747,"19.836866089, 99.2187174737"
619051,1150MT000238442,AFAG,105,436823,5801276223,FAA09,PEA,6007365225,19.88231046,99.2169949,"19.8823104582, 99.2169949023"
619316,1150MT000238707,AFAG,105,438140,29561494,FAA09,PEA,6007368974,19.88503144,99.21947446,"19.8850314411, 99.2194744591"
602663,1150MT000222054,AFAG,78,692815,5901251296,FAA04,,6007234587,19.8100727,99.22028507,"19.8100727036, 99.2202850727"
618736,1150MT000238127,AFAG,63,635501,25782541,FAA09,PEA,6007134911,19.90504258,99.22353047,"19.9050425804, 99.2235304732"
592139,1150MT000211530,AFAG,114,140100,5801276236,FAA04,PEA,6007410719,19.83989934,99.22712522,"19.8398993408, 99.2271252172"
592141,1150MT000211532,AFAG,114,140201,6200142355,FAA04,PEA,6007410888,19.83984532,99.22750954,"19.8398453172, 99.2275095403"
618792,1150MT000238183,AFAG,64,652200,29559775,FAA09,PEA,6007147437,19.89594861,99.22973235,"19.8959486065, 99.2297323476"
618356,1150MT000237747,AFAG,64,646700,29559786,FAA09,PEA,6007142449,19.89906989,99.22806968,"19.8990698922, 99.2280696773"
618832,1150MT000238223,AFAG,64,647200,29559797,FAA09,PEA,6007142700,19.89852483,99.22848837,"19.8985248285, 99.2284883659"
618068,1150MT000237459,AFAG,63,636702,6200831652,FAA09,PEA,6007135982,19.90190111,99.22855692,"19.9019011084, 99.2285569158"
592201,1150MT000211592,AFAG,114,141202,22590309,FAA04,PEA,6007411545,19.83972801,99.23080208,"19.8397280106, 99.2308020825"
2404183,11MTAA000548894,AFAG,114,142902,6300829895,FAA04,PEA,6019843425,19.84053779,99.23446836,"19.8405377883, 99.2344683558"
1849683,11MTAA000176466,AFAG,64,-,6201187347,FAA09,PEA,6017645579,19.89566381,99.22994143,"19.8956638058, 99.2299414335"
618697,1150MT000238088,AFAG,63,638220,18043378,FAA09,PEA,6007137576,19.90163149,99.23051356,"19.9016314858, 99.2305135615"
618627,1150MT000238018,AFAG,63,641312,6600584131,FAA09,PEA,6007141447,19.90315123,99.23051635,"19.9031512254, 99.2305163544"
619245,1150MT000238636,AFAG,170,000800,25446545,FAA09,PEA,6007628344,19.88444002,99.23522195,"19.8844400235, 99.2352219506"
618885,1150MT000238276,AFAG,9801,004100,27684145,FAA09,,6007927049,19.88975791,99.24305264,"19.889757913, 99.2430526448"
602036,1150MT000221427,AFAG,68,014122,6200142062,FAA04,PEA,6007171694,19.80331876,99.24495671,"19.8033187619, 99.2449567132"
592957,1150MT000212348,AFAG,129,220501,6001709102,FAA04,PEA,6007484249,19.8045753,99.24789967,"19.8045753036, 99.2478996739"
3316045,11MTAA001015403,AFAG,203,101300,5700887630,FAA04,PEA,6007665254,19.8417686,99.24476127,"19.8417686002, 99.2447612746"
3437281,11MTAA001090767,AFAG,116,162405,6201354947,FAA09,PEA,6022792810,19.86628264,99.24417097,"19.8662826413, 99.2441709707"
3262834,11MTAA000986950,AFAG,116,162570,18012600,FAA09,PEA,6016446709,19.86588925,99.2476308,"19.8658892505, 99.2476307965"
593083,1150MT000212474,AFAG,68,010801,26563391,FAA04,PEA,6007165367,19.80254285,99.25340771,"19.8025428501, 99.2534077065"
2373667,11MTAA000533030,AFAG,68,011901,5700239254,FAA04,PEA,6019702572,19.80038533,99.25416526,"19.8003853266, 99.254165262"
4582499,11MTAA001419906,AFAG,129,222540,5800495483,FAA04,PEA,6024929515,19.80780628,99.26187233,"19.8078062825, 99.2618723331"
592315,1150MT000211706,AFAG,127,195602,5801369463,FAA04,PEA,6007475540,19.84477054,99.27221339,"19.8447705446, 99.2722133882"
1270983,11MTAA000018081,AFAG,129,223827,24000890,FAA04,PEA,6007489913,19.80307526,99.27708927,"19.803075262, 99.2770892731"
2367881,11MTAA000529642,AFAG,127,197104,5801369386,FAA04,PEA,6019695798,19.8424783,99.27499662,"19.8424783016, 99.2749966222"
2297402,11MTAA000481347,AFAG,127,197932,29559130,FAA04,PEA,6019292718,19.84129859,99.27717593,"19.8412985856, 99.277175927"
3300046,11MTAA001007417,AFAG,129,224230,6201187100,FAA04,PEA,6007490741,19.80182812,99.28031835,"19.8018281165, 99.2803183478"
3444228,11MTAA001094640,AFAG,129,224495,6001150847,FAA04,PEA,6022837136,19.80092486,99.28168,"19.8009248612, 99.2816799987"
591833,1150MT000211224,AFAG,180,217541,5700551890,FAA04,PEA,6007638254,19.84680612,99.27848319,"19.8468061202, 99.2784831925"
591829,1150MT000211220,AFAG,180,217531,27820167,FAA04,PEA,6007638157,19.84675846,99.27861272,"19.8467584568, 99.2786127187"
592258,1150MT000211649,AFAG,180,217203,16419274,FAA04,PEA,6007637867,19.84582337,99.27920091,"19.8458233708, 99.2792009103"
2110922,11MTAA000353455,AFAG,180,218111,6300827448,FAA04,PEA,6018446374,19.84647939,99.27960127,"19.8464793909, 99.2796012657"
